week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status,pct_positive_formula,sites_included_n,sites_total_n
2020-12-07,2020-12-13,6,2,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2020-12-14,2020-12-20,3,1,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2020-12-21,2020-12-27,2,1,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2020-12-28,2021-01-03,6,2,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-01-04,2021-01-10,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-01-11,2021-01-17,36,15,3,0,0.2,ok,positive_tubes_n / tubes_n,1,10
2021-01-18,2021-01-24,49,24,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-01-25,2021-01-31,45,19,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-02-01,2021-02-07,31,11,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-02-08,2021-02-14,40,13,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-02-15,2021-02-21,14,4,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-02-22,2021-02-28,24,9,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-03-01,2021-03-07,35,11,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-03-08,2021-03-14,30,9,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-03-15,2021-03-21,16,6,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-03-22,2021-03-28,6,2,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-03-29,2021-04-04,6,2,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-04-05,2021-04-11,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-04-12,2021-04-18,8,3,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-04-19,2021-04-25,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-04-26,2021-05-02,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-05-03,2021-05-09,1,1,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-05-10,2021-05-16,5,2,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-05-17,2021-05-23,6,6,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2021-05-24,2021-05-30,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-05-31,2021-06-06,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-06-07,2021-06-13,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-06-14,2021-06-20,197,63,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2021-06-21,2021-06-27,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-06-28,2021-07-04,105,374,2,0,0.0053475935828877,ok,positive_tubes_n / tubes_n,2,10
2021-07-05,2021-07-11,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,2,10
2021-07-12,2021-07-18,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,2,10
2021-07-19,2021-07-25,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,2,10
2021-07-26,2021-08-01,85,322,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2021-08-02,2021-08-08,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-08-09,2021-08-15,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-08-16,2021-08-22,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-08-23,2021-08-29,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2021-08-30,2021-09-05,172,55,2,0,0.03636363636363636,ok,positive_tubes_n / tubes_n,3,10
2021-09-06,2021-09-12,192,63,3,1,0.047619047619047616,ok,positive_tubes_n / tubes_n,3,10
2021-09-13,2021-09-19,194,65,4,0,0.06153846153846154,ok,positive_tubes_n / tubes_n,3,10
2021-09-20,2021-09-26,235,75,4,0,0.05333333333333334,ok,positive_tubes_n / tubes_n,3,10
2021-09-27,2021-10-03,240,108,1,0,0.009259259259259259,ok,positive_tubes_n / tubes_n,4,10
2021-10-04,2021-10-10,322,171,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2021-10-11,2021-10-17,281,154,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2021-10-18,2021-10-24,251,138,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2021-10-25,2021-10-31,219,108,1,0,0.009259259259259259,ok,positive_tubes_n / tubes_n,4,10
2021-11-01,2021-11-07,227,126,3,0,0.023809523809523808,ok,positive_tubes_n / tubes_n,4,10
2021-11-08,2021-11-14,220,120,16,0,0.13333333333333333,ok,positive_tubes_n / tubes_n,4,10
2021-11-15,2021-11-21,271,141,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2021-11-22,2021-11-28,157,74,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2021-11-29,2021-12-05,275,152,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2021-12-06,2021-12-12,319,183,2,0,0.01092896174863388,ok,positive_tubes_n / tubes_n,5,10
2021-12-13,2021-12-19,396,246,9,2,0.036585365853658534,ok,positive_tubes_n / tubes_n,5,10
2021-12-20,2021-12-26,535,260,31,0,0.11923076923076924,ok,positive_tubes_n / tubes_n,4,10
2021-12-27,2022-01-02,1368,488,66,0,0.13524590163934427,ok,positive_tubes_n / tubes_n,4,10
2022-01-03,2022-01-09,3400,1502,327,1,0.21770972037283623,ok,positive_tubes_n / tubes_n,4,10
2022-01-10,2022-01-16,3188,1251,167,1,0.1334932054356515,ok,positive_tubes_n / tubes_n,4,10
2022-01-17,2022-01-23,2766,1013,102,0,0.10069101678183613,ok,positive_tubes_n / tubes_n,4,10
2022-01-24,2022-01-30,3041,1053,48,0,0.045584045584045586,ok,positive_tubes_n / tubes_n,4,10
2022-01-31,2022-02-06,2897,966,27,0,0.027950310559006212,ok,positive_tubes_n / tubes_n,4,10
2022-02-07,2022-02-13,2878,933,23,0,0.02465166130760986,ok,positive_tubes_n / tubes_n,4,10
2022-02-14,2022-02-20,2876,977,5,2,0.00511770726714432,ok,positive_tubes_n / tubes_n,4,10
2022-02-21,2022-02-27,2216,783,4,0,0.005108556832694764,ok,positive_tubes_n / tubes_n,4,10
2022-02-28,2022-03-06,732,316,3,0,0.00949367088607595,ok,positive_tubes_n / tubes_n,4,10
2022-03-07,2022-03-13,271,165,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2022-03-14,2022-03-20,180,93,0,0,0.0,ok,positive_tubes_n / tubes_n,4,10
2022-03-21,2022-03-27,212,147,1,0,0.006802721088435374,ok,positive_tubes_n / tubes_n,3,10
2022-03-28,2022-04-03,27,14,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-04-04,2022-04-10,246,189,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-04-11,2022-04-17,225,164,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-04-18,2022-04-24,250,187,1,0,0.0053475935828877,ok,positive_tubes_n / tubes_n,3,10
2022-04-25,2022-05-01,221,156,2,0,0.01282051282051282,ok,positive_tubes_n / tubes_n,3,10
2022-05-02,2022-05-08,148,70,2,0,0.02857142857142857,ok,positive_tubes_n / tubes_n,4,10
2022-05-09,2022-05-15,260,197,4,2,0.02030456852791878,ok,positive_tubes_n / tubes_n,4,10
2022-05-16,2022-05-22,227,160,1,0,0.00625,ok,positive_tubes_n / tubes_n,3,10
2022-05-23,2022-05-29,243,189,1,0,0.005291005291005291,ok,positive_tubes_n / tubes_n,3,10
2022-05-30,2022-06-05,191,149,1,0,0.006711409395973154,ok,positive_tubes_n / tubes_n,3,10
2022-06-06,2022-06-12,87,145,3,0,0.020689655172413793,ok,positive_tubes_n / tubes_n,3,10
2022-06-13,2022-06-19,19,9,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-06-20,2022-06-26,13,5,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-06-27,2022-07-03,97,129,4,3,0.031007751937984496,ok,positive_tubes_n / tubes_n,3,10
2022-07-04,2022-07-10,131,132,1,0,0.007575757575757576,ok,positive_tubes_n / tubes_n,3,10
2022-07-11,2022-07-17,124,124,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-07-18,2022-07-24,105,204,4,0,0.0196078431372549,ok,positive_tubes_n / tubes_n,3,10
2022-07-25,2022-07-31,14,7,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-08-01,2022-08-07,63,90,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-08-08,2022-08-14,62,62,1,0,0.016129032258064516,ok,positive_tubes_n / tubes_n,3,10
2022-08-15,2022-08-21,0,37,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-08-22,2022-08-28,4,1,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-08-29,2022-09-04,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,2,10
2022-09-05,2022-09-11,121,64,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-09-12,2022-09-18,145,57,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-09-19,2022-09-25,118,52,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-09-26,2022-10-02,151,63,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-10-03,2022-10-09,154,65,0,0,0.0,ok,positive_tubes_n / tubes_n,3,10
2022-10-10,2022-10-16,120,51,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-10-17,2022-10-23,111,50,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-10-24,2022-10-30,118,56,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-10-31,2022-11-06,84,39,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-11-07,2022-11-13,102,46,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-11-14,2022-11-20,89,46,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-11-21,2022-11-27,49,28,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-11-28,2022-12-04,114,48,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2022-12-05,2022-12-11,98,40,1,0,0.025,ok,positive_tubes_n / tubes_n,2,10
2022-12-12,2022-12-18,42,24,1,0,0.041666666666666664,ok,positive_tubes_n / tubes_n,2,10
2022-12-19,2022-12-25,64,32,2,0,0.0625,ok,positive_tubes_n / tubes_n,2,10
2022-12-26,2023-01-01,6,3,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2023-01-02,2023-01-08,100,41,0,0,0.0,ok,positive_tubes_n / tubes_n,2,10
2023-01-09,2023-01-15,80,39,0,2,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-01-16,2023-01-22,86,40,0,1,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-01-23,2023-01-29,65,29,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-01-30,2023-02-05,13,7,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-02-06,2023-02-12,70,33,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-02-13,2023-02-19,87,39,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-02-20,2023-02-26,89,40,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-02-27,2023-03-05,81,37,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-03-06,2023-03-12,112,47,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-03-13,2023-03-19,0,0,0,0,,denom_zero,positive_tubes_n / tubes_n,1,10
2023-03-20,2023-03-26,84,37,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-03-27,2023-04-02,90,40,1,0,0.025,ok,positive_tubes_n / tubes_n,1,10
2023-04-03,2023-04-09,54,28,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-04-10,2023-04-16,81,39,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-04-17,2023-04-23,67,39,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-04-24,2023-04-30,55,33,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-05-01,2023-05-07,43,22,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-05-08,2023-05-14,67,31,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
2023-05-15,2023-05-21,54,31,1,0,0.03225806451612903,ok,positive_tubes_n / tubes_n,1,10
2023-05-22,2023-05-28,49,26,4,0,0.15384615384615385,ok,positive_tubes_n / tubes_n,1,10
2023-05-29,2023-06-04,43,25,0,0,0.0,ok,positive_tubes_n / tubes_n,1,10
